Name,close
A,49.202025416997614
AAL,38.39325226370135
AAP,132.43346306592534
AAPL,109.06669849086576
ABBV,60.864440031771245
ABC,82.09297855440826
ABT,42.940325655281974
ACN,101.11907863383638
ADBE,90.45815639396346
ADI,60.9319320889595
ADM,42.402112787926924
ADP,87.00940111199364
ADS,241.04405083399524
ADSK,64.19433582208102
AEE,45.00293884034948
AEP,58.46613979348689
AES,12.340048451151707
AET,104.82171167593329
AFL,66.1223868149325
AGN,222.2610325655282
AIG,55.70654487688641
AIV,37.490659253375696
AIZ,75.40227164416204
AJG,48.62541699761716
AKAM,56.625419301032565
ALB,75.36178316123907
ALGN,83.66451826846705
ALK,61.76706513105639
ALL,67.22848292295473
ALLE,64.18211194731892
ALXN,142.51771008737092
AMAT,25.8389253375695
AMD,5.6018625893566325
AME,52.3570293884035
AMG,179.1746624305004
AMGN,146.00447537728354
AMP,114.11168387609213
AMT,101.03915806195393
AMZN,576.88004050834
ANDV,77.7200198570294
ANSS,93.60052343129468
ANTM,134.282239872915
AON,99.11863383637808
AOS,36.46065329626688
APA,64.07328435266083
APC,72.24023034154091
APD,132.61769658459093
APH,56.87292692613185
APTV,89.49386363636364
ARE,91.98567911040509
ARNC,31.40175536139793
ATVI,32.739281175536135
AVB,161.80311358220808
AVGO,130.74567712470215
AVY,64.47580619539316
AWK,60.15078633836378
AXP,78.6160127084988
AYI,166.89218427323274
AZO,619.7036536934074
BA,149.90598888006355
BAC,17.704177918983323
BAX,59.334718030182685
BBT,38.97519062748213
BBY,37.89544876886418
BDX,147.0200873709293
BEN,46.09075814138205
BF.B,46.25262907069102
BHF,60.13965734265734
BHGE,33.89052631578947
BIIB,295.41326401906275
BK,40.21694996028594
BLK,348.6289674344718
BLL,33.175079428117556
BMY,56.85287987271281
BRK.B,142.28079428117553
BSX,17.90389197776013
BWA,47.59609610802224
BXP,121.7214217633042
C,53.46795075456711
CA,30.663517871326448
CAG,37.4159253375695
CAH,72.31219221604448
CAT,92.93962668784751
CB,115.32315329626688
CBG,31.345925337569497
CBOE,66.13187688641779
CBS,56.216473391580614
CCI,85.1435941223193
CCL,47.598093725178714
CDNS,22.60309769658459
CELG,101.31071532962669
CERN,59.11763542494043
CF,41.47941064336775
CFG,28.815041176470586
CHD,41.195778395552026
CHK,13.681326449563146
CHRW,67.7632176330421
CHTR,208.0883891183479
CI,123.2345194598888
CINF,59.416814932486105
CL,67.45219618745035
CLX,111.49233518665608
CMA,51.67407863383638
CMCSA,30.003741461477365
CME,95.38709849086577
CMG,493.2560079428118
CMI,134.6449324861001
CMS,36.28522637013503
CNC,56.32398729150119
CNP,23.549527402700555
COF,76.74967434471803
COG,28.65496822875298
COL,88.80756949960286
COO,165.3405718824464
COP,57.45326449563146
COST,142.41504281175537
COTY,20.83711849957374
CPB,49.86478951548848
CRM,69.10968625893567
CSCO,27.743812946783162
CSRA,28.870098039215687
CSX,33.851600476568706
CTAS,88.41803097696585
CTL,30.06823272438443
CTSH,55.39348014297061
CTXS,73.04606433677522
CVS,82.42001588562351
CVX,109.969
CXO,116.35337569499602
D,70.84073073868149
DAL,40.2445552025417
DE,94.80416203335982
DFS,58.00950754567117
DG,69.58420571882446
DGX,74.46902382843527
DHI,28.433153296266877
DHR,81.44905068382944
DIS,92.98108022239872
DISCA,43.86043367752184
DISCK,41.26804050833996
DISH,56.71832883240668
DLR,79.48783161239078
DLTR,70.94902065131056
DOV,77.86285146942018
DPS,74.99412231930104
DRE,21.42468625893566
DRI,63.66404289118348
DTE,85.24238284352661
DUK,76.425941223193
DVA,68.47084988085783
DVN,50.06304606830818
DWDP,71.4248623853211
DXC,85.93241860465116
EA,61.61553542494043
EBAY,42.33258220810167
ECL,112.45897537728356
ED,67.22300238284352
EFX,97.46656870532169
