Name,date,open,high,low,close,volume
NCLH,2013-02-28,29.84357142857143,30.343921428571427,29.24385714285714,29.787714285714287,9037989
NCLH,2013-03-31,30.2317,30.672244999999997,29.796750000000003,30.213350000000002,9889810
NCLH,2013-04-30,29.885454545454547,30.202586363636364,29.271827272727272,29.883636363636366,8001511
NCLH,2013-05-31,31.448636363636364,31.921586363636365,30.953731818181822,31.47590909090909,8350160
NCLH,2013-06-30,30.724,31.2892,30.180535,30.688499999999998,8977380
NCLH,2013-07-31,31.046818181818182,31.359768181818183,30.577545454545454,31.05,5622363
NCLH,2013-08-31,31.19636363636364,31.63409090909091,30.82091363636364,31.33318181818182,21797594
NCLH,2013-09-30,31.966,32.331075,31.527505,31.931,8927880
NCLH,2013-10-31,31.248695652173915,31.69456086956522,30.669134782608694,31.160869565217393,22729852
NCLH,2013-11-30,32.6015,33.04275,32.249925000000005,32.7245,7788152
NCLH,2013-12-31,33.574285714285715,33.991142857142854,33.250190476190475,33.607142857142854,27661136
NCLH,2014-01-31,35.25380952380952,35.77730476190476,34.85509523809524,35.27619047619047,14329053
NCLH,2014-02-28,34.46157894736842,34.92486315789474,33.82797368421053,34.426842105263155,21915808
NCLH,2014-03-31,32.93666666666667,33.26304761904762,32.52580952380953,32.853809523809524,32911352
NCLH,2014-04-30,31.421904761904763,31.81975238095238,30.912385714285712,31.377619047619046,27947387
NCLH,2014-05-31,32.745714285714286,33.05642857142857,32.454719047619044,32.79047619047619,19344945
NCLH,2014-06-30,32.607142857142854,33.04380952380952,32.35469523809523,32.760000000000005,25987122
NCLH,2014-07-31,32.38272727272727,32.79259090909091,32.10477272727273,32.45886363636364,22790407
NCLH,2014-08-31,33.00714285714285,33.37761904761905,32.74975714285714,33.00785714285714,14519904
NCLH,2014-09-30,36.50333333333334,36.788380952380955,36.20184285714286,36.47714285714286,21057999
NCLH,2014-10-31,34.4,34.99130434782609,33.87034347826087,34.5191304347826,26814846
NCLH,2014-11-30,40.62947368421053,41.180042105263155,40.25315789473684,40.787894736842105,23633790
NCLH,2014-12-31,45.40772727272727,45.93317727272727,44.88296818181818,45.472272727272724,25829632
NCLH,2015-01-31,45.7045,46.08385,44.8566,45.39875,27975036
NCLH,2015-02-28,45.54210526315789,46.19447368421052,45.032999999999994,45.69026315789474,29701012
NCLH,2015-03-31,51.56727272727273,52.278181818181814,51.02477272727273,51.696363636363635,37339471
NCLH,2015-04-30,52.647619047619045,53.14414761904762,52.032623809523805,52.41571428571429,22626686
NCLH,2015-05-31,53.0175,53.778499999999994,52.65715,53.325250000000004,32246879
NCLH,2015-06-30,55.47318181818182,55.85545454545454,55.03020000000001,55.467954545454546,29299603
NCLH,2015-07-31,58.225,58.786804545454544,57.60254545454546,58.29954545454545,23243880
NCLH,2015-08-31,58.86904761904762,59.613419047619054,57.782380952380954,58.785714285714285,41995396
NCLH,2015-09-30,59.76428571428571,60.45785238095238,58.93595238095238,59.72095238095238,24814989
NCLH,2015-10-31,59.92590909090909,60.893595454545455,59.108045454545454,60.07727272727273,22449759
NCLH,2015-11-30,57.993500000000004,58.681650000000005,57.21925,57.9265,28439157
NCLH,2015-12-31,58.321363636363635,59.13227272727273,57.61227272727273,58.45136363636364,45003302
NCLH,2016-01-31,51.42578947368421,52.21578947368421,49.88727894736842,50.820263157894736,48811631
NCLH,2016-02-29,42.9555,44.071524999999994,41.94075,43.121500000000005,62685586
NCLH,2016-03-31,50.22090909090909,51.02181818181818,49.522409090909086,50.45772727272727,43572458
NCLH,2016-04-30,52.47380952380953,52.87357142857143,51.50335714285715,52.11952380952381,33955399
NCLH,2016-05-31,47.410000000000004,48.192128571428576,46.88738095238095,47.59285714285714,37308207
NCLH,2016-06-30,43.66590909090909,44.091136363636366,43.03909545454545,43.462272727272726,41267152
NCLH,2016-07-31,41.751999999999995,42.311175000000006,41.212875,41.807,39051761
NCLH,2016-08-31,38.63478260869565,39.14884782608696,38.08869565217391,38.51521739130435,65496106
NCLH,2016-09-30,36.14,36.623709523809524,35.6407619047619,36.170476190476194,49145498
NCLH,2016-10-31,37.84238095238096,38.36261428571429,37.45429523809524,37.99809523809524,42013561
NCLH,2016-11-30,38.895714285714284,39.64468095238095,38.310009523809526,39.04238095238095,43487595
NCLH,2016-12-31,42.98238095238095,43.59928095238095,42.391714285714286,43.04761904761905,29111301
NCLH,2017-01-31,45.7765,46.36811,45.28,45.8995,22889403
NCLH,2017-02-28,48.57105263157895,49.09327368421052,48.03973684210526,48.59526315789474,27567565
NCLH,2017-03-31,50.831304347826084,51.186373913043475,50.30606521739131,50.74347826086956,24105427
NCLH,2017-04-30,49.88842105263158,50.43984736842105,49.37137894736842,49.88947368421052,30798696
NCLH,2017-05-31,52.209999999999994,52.82811363636363,51.51181818181818,52.01,41594518
NCLH,2017-06-30,52.64863636363636,53.38681818181818,52.16545454545455,52.778636363636366,36800297
NCLH,2017-07-31,54.704499999999996,55.15,54.203625,54.690999999999995,19249292
NCLH,2017-08-31,57.1904347826087,57.94021739130435,56.6795652173913,57.28260869565217,54545827
NCLH,2017-09-30,55.879,56.50750000000001,54.989999999999995,55.652,38592671
NCLH,2017-10-31,56.51499999999999,57.118472727272724,55.9955,56.54590909090909,92973954
NCLH,2017-11-30,55.13761904761904,55.7252380952381,54.49571428571429,55.1447619047619,44384764
NCLH,2017-12-31,54.42274999999999,54.90675,53.8755,54.236000000000004,35266704
NCLH,2018-01-31,57.569761904761904,58.219047619047615,57.048857142857145,57.777142857142856,34248325
NCLH,2018-02-28,58.94200000000001,60.096000000000004,57.73202,58.496,8900340
