Name,date,open,high,low,close,volume
COST,2013-02-28,101.53714285714285,102.16014285714286,100.72921428571429,101.33928571428571,29460761
COST,2013-03-31,103.33699999999999,104.13735,102.72375,103.4768,43783221
COST,2013-04-30,106.27227272727272,107.02999999999999,105.64264090909091,106.41,40327653
COST,2013-05-31,111.35909090909091,112.26490454545454,110.56022727272726,111.30595454545454,40043757
COST,2013-06-30,110.383,111.30295000000001,109.5307,110.36524999999999,34142106
COST,2013-07-31,115.45636363636363,116.05862727272728,114.7534,115.51977272727272,30470987
COST,2013-08-31,114.53772727272727,115.1344909090909,113.81090909090909,114.45181818181818,31732686
COST,2013-09-30,116.32149999999999,117.09101000000001,115.58875499999999,116.36210000000001,33040462
COST,2013-10-31,115.78392608695651,116.73477826086956,115.24392608695652,116.18513043478261,42919148
COST,2013-11-30,123.05999999999999,123.891265,122.36875,123.31739999999999,31804609
COST,2013-12-31,119.93619047619048,120.50047619047618,119.04291428571428,119.65666666666667,43409684
COST,2014-01-31,115.36166666666665,116.0481380952381,114.29033333333334,115.01190476190476,54745097
COST,2014-02-28,114.21052631578948,115.0308947368421,113.39373684210526,114.32947368421054,41465250
COST,2014-03-31,114.12142857142858,114.61174285714284,113.27848571428571,113.82428571428571,54899253
COST,2014-04-30,113.09619047619047,113.75307142857143,112.50095238095238,113.19947619047619,51995723
COST,2014-05-31,114.88380952380952,115.47980476190476,114.19509523809525,114.85619047619048,40549499
COST,2014-06-30,116.14190476190477,116.56666666666668,115.57924761904762,116.1047619047619,33729639
COST,2014-07-31,117.3490909090909,117.83772727272726,116.85409090909091,117.38635909090908,39129399
COST,2014-08-31,119.59904761904761,120.19402380952381,119.08435714285713,119.7595238095238,32884971
COST,2014-09-30,125.45333333333333,126.07169523809523,124.8943380952381,125.58047619047619,39529964
COST,2014-10-31,127.95826086956522,129.21608260869564,127.24608695652174,128.29695652173913,56728434
COST,2014-11-30,138.1121052631579,138.8575157894737,137.39904210526316,138.32368421052632,33461760
COST,2014-12-31,142.16590909090908,142.96972727272725,140.9255,141.82272727272726,46579192
COST,2015-01-31,141.57549999999998,142.504495,140.341205,141.37975,42054812
COST,2015-02-28,147.89,149.1236842105263,146.6115894736842,148.3257894736842,62315989
COST,2015-03-31,150.12136363636364,151.04545454545453,149.24863636363636,150.20704545454544,48747429
COST,2015-04-30,148.6747619047619,149.3595238095238,147.48857142857145,148.23880952380952,39583151
COST,2015-05-31,144.41500000000002,145.37848,143.47665,144.3145,40761297
COST,2015-06-30,139.37318181818182,140.1175,138.62000454545455,139.0134090909091,43419233
COST,2015-07-31,142.7268181818182,143.55908636363637,141.8728409090909,142.895,40338762
COST,2015-08-31,143.1047619047619,144.19856666666666,141.08152380952382,142.98,43381071
COST,2015-09-30,141.88619047619048,143.09952380952382,140.98609047619047,142.17857142857142,39107390
COST,2015-10-31,152.21954545454545,153.72322727272729,151.13590909090908,152.98181818181817,46408315
COST,2015-11-30,158.85750000000002,160.03352999999998,157.71706999999998,159.105,39893360
COST,2015-12-31,162.19909090909093,163.4637590909091,160.96095909090909,162.12818181818182,54519987
COST,2016-01-31,153.01526315789474,154.31094736842104,151.2299789473684,152.75763157894735,48510990
COST,2016-02-29,148.8195,150.34692,147.199425,148.906,54390452
COST,2016-03-31,152.45045454545453,154.02924545454545,151.4777272727273,152.98545454545453,51298617
COST,2016-04-30,153.08809523809524,153.84671428571428,151.69471904761906,152.61666666666665,42836973
COST,2016-05-31,146.4504761904762,147.8432380952381,145.20142857142858,146.54142857142855,69447314
COST,2016-06-30,154.38454545454545,155.69908636363635,153.66756363636364,154.9659090909091,55955760
COST,2016-07-31,164.85150000000002,165.819025,164.02952,165.1545,43090237
COST,2016-08-31,166.88304347826087,167.6008695652174,165.96652173913043,166.7591304347826,34036599
COST,2016-09-30,152.99238095238096,153.80856666666668,151.77619047619046,152.55190476190478,60815804
COST,2016-10-31,150.23,151.00082857142857,149.34785714285712,150.09047619047618,46458573
COST,2016-11-30,148.91285714285715,150.07334761904764,148.0057523809524,149.0052380952381,51226078
COST,2016-12-31,158.63238095238094,159.95714285714286,157.91609523809524,158.8652380952381,48205841
COST,2017-01-31,162.538,163.32850000000002,161.49749,162.66500000000002,36713639
COST,2017-02-28,172.06578947368422,173.06342105263158,171.16321578947367,172.53263157894736,48181612
COST,2017-03-31,167.8978260869565,168.67918260869564,167.05173913043478,167.7895652173913,58816599
COST,2017-04-30,171.2305263157895,171.8975894736842,170.3640105263158,171.05473684210526,36642676
COST,2017-05-31,174.7409090909091,175.5523,173.73,174.61954545454546,53734138
COST,2017-06-30,171.69,172.42257727272727,170.05386363636364,171.07545454545453,110663461
COST,2017-07-31,153.719,154.609645,152.56980000000001,153.2845,93218856
COST,2017-08-31,156.8804347826087,158.03965217391303,155.38789130434782,156.68869565217392,76547359
COST,2017-09-30,160.879,162.00546,159.98739,161.24949999999998,50201438
COST,2017-10-31,160.36499999999998,161.53726818181818,159.41119090909092,160.60863636363635,89109246
COST,2017-11-30,169.81190476190477,171.51554761904762,169.0059619047619,170.8004761904762,57902039
COST,2017-12-31,188.134,189.26601499999998,186.612505,187.7935,60837317
COST,2018-01-31,191.93333333333334,193.41108095238096,190.502,192.13238095238094,57502115
COST,2018-02-28,187.766,190.506,185.007,187.086,14553089
